Player,Team,G,Comp,Att,Yard,TD,INT,Rush Att,Rush Yard,Rush TD
Josh Allen,BUF,17,409,646,"4,407",36,15,122,763,6
Tom Brady,TB,17,485,719,"5,316",43,12,28,81,2
Justin Herbert,LAC,17,443,672,"5,014",38,15,63,302,3
Patrick Mahomes,KC,17,436,658,"4,839",37,13,66,381,2
Matthew Stafford,LAR,17,404,601,"4,886",41,17,32,43,0
Dak Prescott,DAL,16,410,596,"4,449",37,10,48,146,1
Joe Burrow,CIN,16,366,520,"4,611",34,14,40,118,2
Aaron Rodgers,GB,16,366,531,"4,115",37,4,33,101,3
Kirk Cousins,MIN,16,372,561,"4,221",33,7,29,115,1
Jalen Hurts,PHI,15,265,432,"3,144",16,9,140,782,10
Kyler Murray,ARI,14,333,481,"3,787",24,10,88,423,5
Derek Carr,LV,17,428,626,"4,804",23,14,40,108,0
Ryan Tannehill,TEN,17,357,531,"3,734",21,14,55,270,7
Carson Wentz,IND,17,322,516,"3,563",27,7,57,215,1
Lamar Jackson,BAL,12,246,382,"2,882",16,13,133,767,2
Jimmy Garoppolo,SF,15,301,441,"3,810",20,12,38,51,3
Matt Ryan,ATL,17,375,560,"3,968",20,12,40,82,1
Mac Jones,NE,17,352,521,"3,801",22,13,44,129,0
Taylor Heinicke,WAS,16,321,494,"3,419",20,15,60,313,1
Russell Wilson,SEA,14,259,400,"3,113",25,6,43,183,2
Ben Roethlisberger,PIT,16,390,605,"3,740",22,10,20,5,1
Trevor Lawrence,JAC,17,359,602,"3,641",12,17,73,334,2
Teddy Bridgewater,DEN,14,285,426,"3,052",18,7,30,106,2
Jared Goff,DET,14,332,494,"3,245",19,8,17,87,0
Baker Mayfield,CLE,14,253,418,"3,010",17,13,37,134,1
Tua Tagovailoa,MIA,13,263,388,"2,653",16,10,42,128,3
Sam Darnold,CAR,12,243,406,"2,527",9,13,48,222,5
Daniel Jones,NYG,11,232,361,"2,428",10,7,62,298,2
Davis Mills,HOU,13,263,394,"2,664",16,10,18,44,0
Zach Wilson,NYJ,13,213,383,"2,334",9,11,29,185,4
Justin Fields,CHI,12,159,270,"1,870",7,10,72,420,2